# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
1.176000e+05, 1.098442e+05, 1.039687e+05, 1.688224e-03, 9.051613e-04, 2.499208e-03, 9.164317e-04, 7.552645e-05, 3.482293e-04, 1.586233e-03, 9.667634e-06, 5.365775e-04, 4.575006e-04, 1.462490e-03, 1.945796e-06, 0.000000e+00   
1.182000e+05, 1.098430e+05, 1.039678e+05, 1.688935e-03, 9.051258e-04, 2.504557e-03, 9.179311e-04, 8.190323e-05, 3.750073e-04, 1.708220e-03, 1.576821e-05, 5.366744e-04, 4.574922e-04, 1.467025e-03, 1.945810e-06, 0.000000e+00   
1.188000e+05, 1.098433e+05, 1.039680e+05, 1.689498e-03, 9.051283e-04, 2.510032e-03, 9.193518e-04, 8.684224e-05, 4.007817e-04, 1.832832e-03, 2.202765e-05, 5.367021e-04, 4.574938e-04, 1.471665e-03, 1.945824e-06, 0.000000e+00   
1.194000e+05, 1.098443e+05, 1.039688e+05, 1.690005e-03, 9.051566e-04, 2.516063e-03, 9.210977e-04, 9.745076e-05, 4.277396e-04, 1.950337e-03, 3.079487e-05, 5.367382e-04, 4.575005e-04, 1.476448e-03, 1.945836e-06, 0.000000e+00   
1.200000e+05, 1.098435e+05, 1.039682e+05, 1.690410e-03, 9.051445e-04, 2.522470e-03, 9.229679e-04, 1.073537e-04, 4.576071e-04, 2.065351e-03, 4.039621e-05, 5.367536e-04, 4.574965e-04, 1.481395e-03, 1.945846e-06, 0.000000e+00   
1.206000e+05, 1.098475e+05, 1.039711e+05, 1.690831e-03, 9.052803e-04, 2.529055e-03, 9.250845e-04, 1.242971e-04, 4.835081e-04, 2.177056e-03, 5.125578e-05, 5.367511e-04, 4.575201e-04, 1.486316e-03, 1.945856e-06, 0.000000e+00   
1.212000e+05, 1.098449e+05, 1.039692e+05, 1.691162e-03, 9.052549e-04, 2.536589e-03, 9.277416e-04, 1.490697e-04, 5.138038e-04, 2.275994e-03, 6.717576e-05, 5.367945e-04, 4.575052e-04, 1.491486e-03, 1.945862e-06, 0.000000e+00   
1.218000e+05, 1.098467e+05, 1.039705e+05, 1.691495e-03, 9.052865e-04, 2.543790e-03, 9.299965e-04, 1.702942e-04, 5.369991e-04, 2.386192e-03, 7.988986e-05, 5.367992e-04, 4.575162e-04, 1.496723e-03, 1.945872e-06, 0.000000e+00   
1.224000e+05, 1.098482e+05, 1.039717e+05, 1.691792e-03, 9.054972e-04, 2.551700e-03, 9.330945e-04, 1.985602e-04, 5.681789e-04, 2.480108e-03, 9.798435e-05, 5.367909e-04, 4.576492e-04, 1.501820e-03, 1.945879e-06, 0.000000e+00   
1.230000e+05, 1.098472e+05, 1.039710e+05, 1.692039e-03, 9.070882e-04, 2.557695e-03, 9.366735e-04, 2.282238e-04, 5.958024e-04, 2.576513e-03, 1.161085e-04, 5.367909e-04, 4.591773e-04, 1.504500e-03, 1.945887e-06, 0.000000e+00   
